t,F0,F1,F2,F3,F4,A0,A1,A2,A3,A4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.29552020666133955,0.29552020666133955,0.29552020666133955,0.29552020666133955,0.29552020666133955,0.2192288393912292,0.12966519597624618,0.046699153973351365,-0.027093689601850122,-0.09524224510916283
0.02,0.5646424733950354,0.5646424733950354,0.5646424733950354,0.5646424733950354,0.5646424733950354,0.5999904983705118,0.38144342628688527,0.15823180709131632,-0.07485154810106402,-0.31495778371380717
0.03,0.7833269096274833,0.7833269096274833,0.7833269096274833,0.7833269096274833,0.7833269096274833,0.9598061521729794,0.5966050493375735,0.2353690146180853,-0.12017520896438084,-0.4715223138752343
0.04,0.9320390859672263,0.9320390859672263,0.9320390859672263,0.9320390859672263,0.9320390859672263,1.214483728623061,0.7594264105917269,0.303970812734705,-0.15180581099962814,-0.6079422562637811
0.05,0.9974949866040544,0.9974949866040544,0.9974949866040544,0.9974949866040544,0.9974949866040544,1.3560710467259613,0.8545558624859004,0.3488744682289645,-0.16880444951335993,-0.6966772173719957
0.06,0.9738476308781953,0.9738476308781953,0.9738476308781953,0.9738476308781953,0.9738476308781953,1.4094781528830056,0.8721527090920285,0.3398611797064584,-0.1769878707452398,-0.6813777634223865
0.07,0.8632093666488737,0.8632093666488737,0.8632093666488737,0.8632093666488737,0.8632093666488737,1.2883329925248095,0.8146122283451861,0.33279370680977305,-0.16154269288346748,-0.6627282816371867
0.08,0.675463180551151,0.675463180551151,0.675463180551151,0.675463180551151,0.675463180551151,1.0814652324451655,0.6820342880489747,0.2773571015735369,-0.1354824694403006,-0.5528984614085847
0.09,0.42737988023383017,0.42737988023383017,0.42737988023383017,0.42737988023383017,0.42737988023383017,0.7815298848171406,0.48808070948825155,0.194755242977791,-0.09773573415800217,-0.3896277163734385
0.1,0.1411200080598672,0.1411200080598672,0.1411200080598672,0.1411200080598672,0.1411200080598672,0.40938661166062135,0.25096479651988157,0.09644245699671429,-0.05103106593437187,-0.1943455601883474
0.11,-0.1577456941432482,-0.1577456941432482,-0.1577456941432482,-0.1577456941432482,-0.1577456941432482,-0.01356037432848005,-0.007191935592883439,-0.0018680728110428552,0.0016501119076219723,0.004118247796291476
0.12,-0.4425204432948521,-0.4425204432948521,-0.4425204432948521,-0.4425204432948521,-0.4425204432948521,-0.42205732432208426,-0.2653165940149771,-0.10722577345252068,0.05284496788391509,0.21399600090925283
0.13,-0.6877661591839741,-0.6877661591839741,-0.6877661591839741,-0.6877661591839741,-0.6877661591839741,-0.7957310048003969,-0.49824772844228965,-0.19982694066057735,0.09956151965888607,0.39938190096093784
0.14,-0.8715757724135882,-0.8715757724135882,-0.8715757724135882,-0.8715757724135882,-0.8715757724135882,-1.0946246888792828,-0.6854845325244052,-0.2749703331841854,0.13696709637580276,0.5495415052698358
0.15,-0.977530117665097,-0.977530117665097,-0.977530117665097,-0.977530117665097,-0.977530117665097,-1.3008319988218742,-0.8140455437173343,-0.3261057930543036,0.16274449942587693,0.65190753784205
0.16,-0.9961646088358407,-0.9961646088358407,-0.9961646088358407,-0.9961646088358407,-0.9961646088358407,-1.3962820456097487,-0.8745334460376284,-0.3509118256847968,0.1747189755642214,0.7012718513936121
0.17,-0.9258146823277321,-0.9258146823277321,-0.9258146823277321,-0.9258146823277321,-0.9258146823277321,-1.3617159945905315,-0.851926460553305,-0.34112772882569886,0.1703474562752634,0.6820022615637341
0.18,-0.7727644875559877,-0.7727644875559877,-0.7727644875559877,-0.7727644875559877,-0.7727644875559877,-1.2019572800484404,-0.7527792125407062,-0.3020232221570275,0.15040135237771793,0.6035841726272024
0.19,-0.5506855425976376,-0.5506855425976376,-0.5506855425976376,-0.5506855425976376,-0.5506855425976376,-0.9375713298494517,-0.5866864064513108,-0.2350123576407354,0.11729198195160961,0.46981553080321714
0.2,-0.27941549819892586,-0.27941549819892586,-0.27941549819892586,-0.27941549819892586,-0.27941549819892586,-0.5872841959945979,-0.36789066499737366,-0.1476603455332102,0.07349070924942455,0.2950715294100876
0.21,0.016813900484349713,0.016813900484349713,0.016813900484349713,0.016813900484349713,0.016813900484349713,-0.18604461090879165,-0.1162897438207509,-0.04648635086160699,0.023269050235958884,0.0929685541862478
0.22,0.31154136351337786,0.31154136351337786,0.31154136351337786,0.31154136351337786,0.31154136351337786,0.2322583242377377,0.14541606449826758,0.05825814372881814,-0.029007770356570355,-0.11660275998123205
0.23,0.5784397643882001,0.5784397643882001,0.5784397643882001,0.5784397643882001,0.5784397643882001,0.6295559007379622,0.3941807638984063,0.15793847512343742,-0.07892826699550075,-0.31540265213659224
0.24,0.7936678638491527,0.7936678638491527,0.7936678638491527,0.7936678638491527,0.7936678638491527,0.9695133038053347,0.608103445960562,0.24376920737900218,-0.1218496041595477,-0.4864375274386751
0.25,0.9379999767747389,0.9379999767747389,0.9379999767747389,0.9379999767747389,0.9379999767747389,1.2264835690019311,0.7662510752026792,0.3069940449852639,-0.1527787426861355,-0.6147237380269983
0.26,0.998543345374605,0.998543345374605,0.998543345374605,0.998543345374605,0.998543345374605,1.3688029109889268,0.8569271604963403,0.3436536301343135,-0.1712624141955621,-0.6868031646567156
0.27,0.9698898108450859,0.9698898108450859,0.9698898108450859,0.9698898108450859,0.9698898108450859,1.3924068627548651,0.8718409611066069,0.3496701365280353,-0.17420488882568824,-0.6988790489380594
0.28,0.8545989080882805,0.8545989080882805,0.8545989080882805,0.8545989080882805,0.8545989080882805,1.2908954037948868,0.8080152345777654,0.3237966108867642,-0.16152711066044964,-0.6472224727244361
0.29,0.6629692300821833,0.6629692300821833,0.6629692300821833,0.6629692300821833,0.6629692300821833,1.0741634218009777,0.6725617842287209,0.26970877520478087,-0.13440048509814537,-0.5390580467477282
0.3,0.4121184852417566,0.4121184852417566,0.4121184852417566,0.4121184852417566,0.4121184852417566,0.7628411256427138,0.4774467263031624,0.19131765735299763,-0.09544077607425248,-0.38243544119477285
0.31,0.1244544235070617,0.1244544235070617,0.1244544235070617,0.1244544235070617,0.1244544235070617,0.38259913200535345,0.23953214562510744,0.09604021275412979,-0.04786972268769612,-0.19195913554830318
0.32,-0.17432678122297965,-0.17432678122297965,-0.17432678122297965,-0.17432678122297965,-0.17432678122297965,-0.03342321180418556,-0.020935439765887017,-0.00839972897679893,0.004182988706362237,0.01678598216767635
0.33,-0.45753589377532133,-0.45753589377532133,-0.45753589377532133,-0.45753589377532133,-0.45753589377532133,-0.4478658732695722,-0.28034779844139407,-0.11236887677363552,0.05603423501639387,0.2246097308520755
0.34,-0.6998746875935437,-0.6998746875935437,-0.6998746875935437,-0.6998746875935437,-0.6998746875935437,-0.8201792622154862,-0.5134526666120989,-0.20583846896607205,0.10261863301526634,0.4114269776588625
0.35000000000000003,-0.8796957599716709,-0.8796957599716709,-0.8796957599716709,-0.8796957599716709,-0.8796957599716709,-1.1182120648443017,-0.6999905261806133,-0.28059501210051857,0.1399045306118017,0.5608610009018995
0.36,-0.9809362300664912,-0.9809362300664912,-0.9809362300664912,-0.9809362300664912,-0.9809362300664912,-1.3174391705509285,-0.8247111774131983,-0.3305887045994442,0.16483310379425087,0.6607878528029916
0.37,-0.9945525882039892,-0.9945525882039892,-0.9945525882039892,-0.9945525882039892,-0.9945525882039892,-1.3996978718812696,-0.8762286981210728,-0.35126227407986876,0.17512463607265316,0.7021036313540368
0.38,-0.9193285256646757,-0.9193285256646757,-0.9193285256646757,-0.9193285256646757,-0.9193285256646757,-1.3563939748099114,-0.8490802299562064,-0.3403488064332454,0.16970486728904574,0.6803016964247065
0.39,-0.7619835839190321,-0.7619835839190321,-0.7619835839190321,-0.7619835839190321,-0.7619835839190321,-1.191102309723029,-0.7456105810899002,-0.2988733195811645,0.1490246395984241,0.5973988055141599
0.4,-0.5365729180004349,-0.5365729180004349,-0.5365729180004349,-0.5365729180004349,-0.5365729180004349,-0.9197990448975334,-0.5758235280051934,-0.23085084717498347,0.11508194658531117,0.46141966809540597
0.41000000000000003,-0.26323179136580094,-0.26323179136580094,-0.26323179136580094,-0.26323179136580094,-0.26323179136580094,-0.5662879526251474,-0.3545118854135565,-0.14211541867053118,0.07085442545197494,0.28405836314469235
0.42,0.033623047221136695,0.033623047221136695,0.033623047221136695,0.033623047221136695,0.033623047221136695,-0.16255001468334987,-0.10169382494119966,-0.04073091397303038,0.020330749133463125,0.08143164792754681
0.43,0.32747443913769303,0.32747443913769303,0.32747443913769303,0.32747443913769303,0.32747443913769303,0.25545145384241813,0.15985822408503061,0.06404992083915102,-0.031955274062341665,-0.12804033663929876
0.44,0.592073514707223,0.592073514707223,0.592073514707223,0.592073514707223,0.592073514707223,0.6504148708979546,0.4071545955475231,0.16321102324141296,-0.08137683743629558,-0.3262293343320658
0.45,0.803784426551621,0.803784426551621,0.803784426551621,0.803784426551621,0.803784426551621,0.9872187469823324,0.6180230126968282,0.24775760988400497,-0.12351837775509697,-0.4952156638011521
0.46,0.9436956694441048,0.9436956694441048,0.9436956694441048,0.9436956694441048,0.9436956694441048,1.235634089843713,0.7735026603752146,0.31006335407143737,-0.15459776028672423,-0.6197610161708769
0.47000000000000003,0.9993093887479177,0.9993093887479177,0.9993093887479177,0.9993093887479177,0.9993093887479177,1.3740171637762124,0.8601385552369886,0.344800204039757,-0.17191140526119258,-0.6891913698612466
0.48,0.965657776549278,0.965657776549278,0.965657776549278,0.965657776549278,0.965657776549278,1.3897582994887534,0.870000777012434,0.3487565057590927,-0.1738823722299943,-0.697096826934988
0.49,0.8457468311429343,0.8457468311429343,0.8457468311429343,0.8457468311429343,0.8457468311429343,1.2821500934701475,0.8026329389552356,0.3217508869414469,-0.16041753965828207,-0.6431190909614187
0.5,0.6502878401571168,0.6502878401571168,0.6502878401571168,0.6502878401571168,0.6502878401571168,1.0607547160062214,0.6640231443623411,0.2661756717184581,-0.13271653367489725,-0.5320392606769452
0.51,0.39674057313061206,0.39674057313061206,0.39674057313061206,0.39674057313061206,0.39674057313061206,0.7452584017592412,0.46652912335829105,0.18701311634540435,-0.09324317376771596,-0.3738057896938148
0.52,0.1077536522994423,0.1077536522994423,0.1077536522994423,0.1077536522994423,0.1077536522994423,0.36355924189176914,0.2275799301289469,0.09122407978900592,-0.045486002567336765,-0.18234267765070308
0.53,-0.19085858137418937,-0.19085858137418937,-0.19085858137418937,-0.19085858137418937,-0.19085858137418937,-0.05088930337416138,-0.03187797634594322,-0.012790550909746502,0.006369372425667022,0.02555962019581865
0.54,-0.4724219863984693,-0.4724219863984693,-0.4724219863984693,-0.4724219863984693,-0.4724219863984693,-0.4610359508519951,-0.2885959091599306,-0.1156800918016928,0.05768154793457659,0.23122701733537804
0.55,-0.711785342369123,-0.711785342369123,-0.711785342369123,-0.711785342369123,-0.711785342369123,-0.8321125830122637,-0.5209666766786193,-0.20887013682600172,0.1041180116347314,0.4174742389782165
0.56,-0.8875670335815046,-0.8875670335815046,-0.8875670335815046,-0.8875670335815046,-0.8875670335815046,-1.1328402198913834,-0.7089662466297791,-0.28410661248839636,0.14171047825936142,0.567932973506639
0.5700000000000001,-0.9840650050816434,-0.9840650050816434,-0.9840650050816434,-0.9840650050816434,-0.9840650050816434,-1.3277847964482656,-0.8318004327550222,-0.33369375445755683,0.16621838816133955,0.6668184277966451
0.58,-0.9926593804706332,-0.9926593804706332,-0.9926593804706332,-0.9926593804706332,-0.9926593804706332,-1.401340019324946,-0.8764652687730462,-0.35108821173551147,0.17519186790535343,0.7019775176359826
0.59,-0.9125824497911845,-0.9125824497911845,-0.9125824497911845,-0.9125824497911845,-0.9125824497911845,-1.348680587411916,-0.8440900841496068,-0.3381598172791593,0.16875053730030712,0.6759832281209824
0.6,-0.7509872467716762,-0.7509872467716762,-0.7509872467716762,-0.7509872467716762,-0.7509872467716762,-1.1764334707631132,-0.7366847472400101,-0.2953558094185468,0.14724977599319433,0.5902804511879087
0.61,-0.5223085896267315,-0.5223085896267315,-0.5223085896267315,-0.5223085896267315,-0.5223085896267315,-0.8990754645784957,-0.5630358852454189,-0.22588599242335242,0.1124857051891265,0.4514517016563419
0.62,-0.2469736617366209,-0.2469736617366209,-0.2469736617366209,-0.2469736617366209,-0.2469736617366209,-0.5440184684328463,-0.3405479716509707,-0.1365075445496697,0.06806492728760745,0.27285566298768243
0.63,0.05042268780681122,0.05042268780681122,0.05042268780681122,0.05042268780681122,0.05042268780681122,-0.13910861087737442,-0.08703249485615976,-0.03484879659997537,0.017403142544116068,0.06967090848569682
0.64,0.3433149288198954,0.3433149288198954,0.3433149288198954,0.3433149288198954,0.3433149288198954,0.2789708279575926,0.17431549201143443,0.06962447500190451,-0.034891416291184855,-0.13926438312557535
0.65,0.605539869719601,0.605539869719601,0.605539869719601,0.605539869719601,0.605539869719601,0.6702276020532505,0.4202856105862757,0.16903612279816563,-0.08388724333977744,-0.337650808435845
0.66,0.8136737375071054,0.8136737375071054,0.8136737375071054,0.8136737375071054,0.8136737375071054,1.0038573423823678,0.6283528489864574,0.2518448039946018,-0.125590532501365,-0.5034153880541479
0.67,0.9491245536478946,0.9491245536478946,0.9491245536478946,0.9491245536478946,0.9491245536478946,1.2464644875612036,0.7797879218553403,0.3121952954035334,-0.15593585091576131,-0.62416757761945
0.68,0.9997929001426693,0.9997929001426693,0.9997929001426693,0.9997929001426693,0.9997929001426693,1.3758090436692412,0.8612949449299644,0.3452888271071597,-0.17213748873698917,-0.6901578861639013
0.6900000000000001,0.9611527245021155,0.9611527245021155,0.9611527245021155,0.9611527245021155,0.9611527245021155,1.3766566253087462,0.8615405163100083,0.34522947734317055,-0.17221198265536744,-0.6901238581652367
0.7000000000000001,0.8366556385360541,0.8366556385360541,0.8366556385360541,0.8366556385360541,0.8366556385360541,1.2655674334135902,0.7928746932962015,0.3181748746993797,-0.15841498545316735,-0.6357870812720442
0.71,0.6374225961502415,0.6374225961502415,0.6374225961502415,0.6374225961502415,0.6374225961502415,1.0417402790137407,0.6518442876103374,0.2611161993231838,-0.13031404572394678,-0.5220098924114605
0.72,0.38125049165494346,0.38125049165494346,0.38125049165494346,0.38125049165494346,0.38125049165494346,0.7245156277406326,0.45390591787610596,0.18224054898031555,-0.09066225557240098,-0.3641522223481298
0.73,0.09102241619984787,0.09102241619984787,0.09102241619984787,0.09102241619984787,0.09102241619984787,0.33910494561768256,0.21124244562727879,0.08394050607608797,-0.04236073751530591,-0.16810128920010825
0.74,-0.20733642060675878,-0.20733642060675878,-0.20733642060675878,-0.20733642060675878,-0.20733642060675878,-0.08140353570364918,-0.05000766793515469,-0.019318219213148555,0.0101404813126429,0.038906793751031156
0.75,-0.4871745124605095,-0.4871745124605095,-0.4871745124605095,-0.4871745124605095,-0.4871745124605095,-0.4886477477608469,-0.3064316651731147,-0.12329091734383837,0.06114808218092527,0.24627185440316993
0.76,-0.723494756044245,-0.723494756044245,-0.723494756044245,-0.723494756044245,-0.723494756044245,-0.8548866732568794,-0.534778663341448,-0.2140531970225857,0.10695233108389636,0.42796825266099936
0.77,-0.8951873678196818,-0.8951873678196818,-0.8951873678196818,-0.8951873678196818,-0.8951873678196818,-1.1430040389800515,-0.7158458536483888,-0.2872131213645058,0.14301962860078102,0.573987664375281
0.78,-0.9869155581206493,-0.9869155581206493,-0.9869155581206493,-0.9869155581206493,-0.9869155581206493,-1.3299328449018684,-0.8324243713352212,-0.3335918421510038,0.16639384389307088,0.6668225432115381
0.79,-0.9904855208971559,-0.9904855208971559,-0.9904855208971559,-0.9904855208971559,-0.9904855208971559,-1.3982539929362814,-0.8751670628747845,-0.3506995927540066,0.17494152373425895,0.7010284567131329
0.8,-0.9055783620066238,-0.9055783620066238,-0.9055783620066238,-0.9055783620066238,-0.9055783620066238,-1.341054966322449,-0.8397757855926715,-0.33689100401838784,0.16778588716186837,0.6732963422683815
0.81,-0.7397785850778934,-0.7397785850778934,-0.7397785850778934,-0.7397785850778934,-0.7397785850778934,-1.1652079918487235,-0.7292433315444772,-0.29216208526502097,0.1457866807942765,0.5840341567302965
