Time (s),A0 (g),Force(N)
0.0,0.010000000000000009,0.1
0.0005,0.010000000000000009,0.12
0.001,0.010000000000000009,0.14
0.001501,0.010000000000000009,0.15
0.002,0.010000000000000009,0.04
0.0025,0.020000000000000018,0.04
0.003,0.020000000000000018,0.1
0.0035,0.020000000000000018,0.1
0.004,0.010000000000000009,0.1
0.004501,0.010000000000000009,0.1
0.005,0.020000000000000018,0.08
0.005501,0.010000000000000009,0.18
0.006,0.010000000000000009,0.08
0.0065,0.020000000000000018,-0.16
0.007,0.0,0.02
0.0075,0.010000000000000009,0.02
0.008,0.020000000000000018,0.1
0.0085,0.010000000000000009,0.06
0.009,0.010000000000000009,0.15
0.0095,0.010000000000000009,0.13
0.01,0.0,0.07
0.0105,-0.010000000000000009,0.12
0.011,-0.010000000000000009,0.08
0.0115,-0.010000000000000009,0.18
0.012001,-0.010000000000000009,0.1
0.0125,0.0,0.15
0.013,0.0,0.06
0.013501,0.0,0.11
1.648,-0.020000000000000018,0.1
1.6485,-0.020000000000000018,0.14
1.649,-0.020000000000000018,0.19
1.6495,-0.010000000000000009,0.29
1.65,-0.020000000000000018,0.21
1.6505,-0.020000000000000018,0.12
1.651,-0.030000000000000027,0.07
1.651501,-0.010000000000000009,0.17
1.652,-0.010000000000000009,0.1
1.652501,-0.020000000000000018,0.18
1.653,-0.020000000000000018,0.15
1.6535,-0.020000000000000018,0.23
1.654,-0.010000000000000009,0.18
1.6545,-0.010000000000000009,0.15
1.655,-0.020000000000000018,0.45
1.655501,-0.010000000000000009,0.14
1.656,-0.030000000000000027,0.12
1.6565,-0.020000000000000018,0.12
1.657,-0.010000000000000009,0.36
1.6575,-0.020000000000000018,0.34
1.658,-0.020000000000000018,0.3
1.6585,-0.020000000000000018,0.15
1.659,-0.010000000000000009,0.27
1.6595,-0.020000000000000018,0.19
1.66,-0.020000000000000018,0.17
1.6605,-0.010000000000000009,0.16
1.661,-0.010000000000000009,0.37
1.6615,-0.020000000000000018,0.27
1.662,-0.010000000000000009,0.24
1.6625,-0.010000000000000009,0.27
1.663,-0.010000000000000009,0.11
1.6635,-0.010000000000000009,0.08
1.664,0.0,0.16
1.6645,0.0,0.26
1.665,0.0,0.22
1.665501,-0.010000000000000009,0.09
1.666,0.0,0.11
1.6665,-0.010000000000000009,0.09
1.667,-0.010000000000000009,0.2
1.6675,-0.010000000000000009,0.08
1.668,-0.010000000000000009,0.1
1.6685,0.0,0.05
1.669,-0.010000000000000009,0.05
1.6695,0.0,0.27
1.67,-0.010000000000000009,0.18
1.670501,0.010000000000000009,0.14
1.671,0.010000000000000009,0.02
1.6715,-0.010000000000000009,0.13
1.672001,0.0,0.18
1.672501,0.0,0.06
1.673,-0.020000000000000018,0.01
1.6735,0.0,0.26
1.674,0.0,0.09
1.674501,-0.020000000000000018,0.12
1.675,-0.010000000000000009,0.06
1.6755,-0.010000000000000009,0.13
1.676,0.0,0.15
1.6765,0.010000000000000009,0.1
1.677,0.0,0.16
1.6775,0.0,0.15
1.678,-0.010000000000000009,0.15
1.6785,0.0,0.01
1.679,-0.020000000000000018,0.13
1.6795,-0.010000000000000009,0.04
1.68,-0.010000000000000009,0.11
1.6805,0.0,0.18
1.681,-0.010000000000000009,0.27
1.6815,0.0,0.18
1.682,-0.010000000000000009,0.35
1.6825,-0.010000000000000009,0.15
1.683,-0.010000000000000009,0.08
1.6835,-0.010000000000000009,0.14
1.684,-0.020000000000000018,0.1
1.6845,0.0,0.22
1.685,0.0,0.11
1.6855,0.0,0.13
1.686,-0.010000000000000009,0.18
1.6865,0.0,0.15
1.687,-0.010000000000000009,-0.08
1.687501,0.0,0.06
1.688,-0.010000000000000009,0.07
1.688501,-0.010000000000000009,0.21
1.689,-0.010000000000000009,0.04
1.6895,-0.010000000000000009,0.1
1.69,-0.010000000000000009,0.45
1.6905,-0.010000000000000009,0.04
1.691,-0.010000000000000009,0.26
1.691501,-0.010000000000000009,0.12
1.692,-0.020000000000000018,-0.11
1.6925,0.0,0.01
1.693,0.0,0.03
1.6935,0.0,-0.14
1.694,-0.030000000000000027,0.22
1.6945,0.0,0.17
1.695,-0.020000000000000018,0.08
1.6955,-0.010000000000000009,-0.0
1.696,-0.010000000000000009,0.3
1.696501,-0.010000000000000009,0.14
1.697,-0.010000000000000009,0.29
1.6975,0.0,0.36
1.698,-0.020000000000000018,0.11
1.6985,0.0,0.18
1.699,-0.010000000000000009,0.24
1.699501,-0.010000000000000009,0.15
1.7,-0.020000000000000018,0.02
1.7005,-0.010000000000000009,0.14
1.701001,-0.020000000000000018,-0.07
1.7015,-0.020000000000000018,0.18
1.702,-0.010000000000000009,0.1
1.7025,0.0,0.24
1.703,0.0,0.05
1.703501,-0.020000000000000018,0.1
1.704,-0.010000000000000009,0.36
1.7045,0.0,0.12
1.705,0.0,0.2
1.7055,0.0,0.05
1.706,0.0,0.1
1.7065,0.010000000000000009,0.07
1.707,-0.010000000000000009,0.02
1.7075,-0.010000000000000009,0.21
1.708,-0.010000000000000009,0.15
1.7085,-0.010000000000000009,-0.06
1.709,-0.010000000000000009,0.29
1.7095,-0.010000000000000009,0.04
1.71,0.0,0.16
1.7105,-0.020000000000000018,0.1
1.711,0.0,0.13
1.7115,0.0,0.14
1.712,-0.010000000000000009,-0.01
1.712501,-0.020000000000000018,0.13
1.713,-0.010000000000000009,0.09
1.7135,-0.010000000000000009,-0.07
1.714,0.0,0.42
1.7145,-0.020000000000000018,0.17
1.715,-0.020000000000000018,0.05
1.7155,-0.010000000000000009,0.17
1.716,0.0,0.16
1.7165,-0.020000000000000018,0.13
1.717,-0.020000000000000018,0.13
1.7175,-0.010000000000000009,0.18
1.718,-0.010000000000000009,0.11
1.7185,0.0,0.17
1.719,-0.010000000000000009,0.18
1.7195,-0.010000000000000009,0.17
1.72,-0.020000000000000018,0.27
1.7205,-0.010000000000000009,0.21
1.721,-0.020000000000000018,0.31
1.7215,-0.010000000000000009,0.14
1.722,-0.010000000000000009,0.26
1.7225,-0.010000000000000009,0.11
1.723,-0.010000000000000009,0.23
1.7235,-0.010000000000000009,0.21
1.724001,-0.020000000000000018,-0.16
1.7245,-0.020000000000000018,0.08
1.725,-0.020000000000000018,0.16
1.7255,-0.010000000000000009,-0.02
1.726,-0.010000000000000009,0.16
1.7265,0.0,0.24
1.727,-0.010000000000000009,0.07
1.7275,-0.020000000000000018,0.12
1.728,-0.010000000000000009,0.1
1.7285,-0.020000000000000018,0.13
1.729,0.0,0.24
1.7295,-0.010000000000000009,0.17
1.73,-0.020000000000000018,0.06
1.7305,-0.020000000000000018,0.35
1.731,-0.010000000000000009,-0.07
1.7315,-0.020000000000000018,0.11
1.732,-0.020000000000000018,0.15
1.7325,0.0,0.18
1.733,-0.010000000000000009,0.15
1.7335,0.0,0.09
1.734,-0.020000000000000018,0.16
1.7345,0.0,0.02
1.735,-0.020000000000000018,0.18
1.7355,-0.010000000000000009,-0.0
1.736,-0.020000000000000018,0.21
1.7365,-0.010000000000000009,0.19
1.737,-0.020000000000000018,0.09
1.7375,-0.010000000000000009,0.2
1.738,-0.020000000000000018,0.12
1.738501,-0.010000000000000009,0.18
1.739,-0.020000000000000018,0.16
1.7395,-0.020000000000000018,0.18
1.74,-0.010000000000000009,0.14
1.7405,0.0,0.1
1.741,-0.010000000000000009,0.16
1.7415,-0.020000000000000018,0.1
1.742,-0.010000000000000009,0.13
1.7425,-0.020000000000000018,0.17
1.743,0.0,0.19
1.7435,0.0,0.17
1.744,-0.010000000000000009,0.17
1.7445,-0.010000000000000009,0.1
1.745,-0.020000000000000018,0.1
1.7455,0.0,0.09
1.746,-0.020000000000000018,0.13
1.746501,-0.010000000000000009,0.15
1.747,-0.010000000000000009,0.06
1.7475,-0.020000000000000018,0.12
1.748,-0.030000000000000027,0.1
1.7485,-0.020000000000000018,0.11
1.749,-0.020000000000000018,0.14
1.7495,-0.020000000000000018,-0.03
1.75,0.0,0.2
1.750501,-0.010000000000000009,0.09
1.751,-0.010000000000000009,0.08
1.7515,-0.020000000000000018,0.13
1.752,-0.020000000000000018,0.1
1.7525,-0.030000000000000027,0.11
1.753001,-0.020000000000000018,0.04
1.7535,-0.010000000000000009,-0.01
1.754,-0.020000000000000018,0.16
1.7545,-0.010000000000000009,0.24
1.755,-0.010000000000000009,0.04
1.7555,-0.010000000000000009,0.1
1.756001,-0.020000000000000018,0.12
1.756501,-0.020000000000000018,0.11
1.757,-0.020000000000000018,0.07
1.7575,-0.030000000000000027,0.09
1.758,-0.020000000000000018,0.09
1.7585,-0.030000000000000027,0.1
1.759,-0.020000000000000018,0.15
1.7595,-0.020000000000000018,0.18
1.76,-0.010000000000000009,0.12
1.7605,-0.010000000000000009,0.18
1.761,-0.030000000000000027,0.04
1.7615,-0.030000000000000027,0.16
1.762,-0.020000000000000018,0.15
1.7625,-0.010000000000000009,0.19
1.763,-0.020000000000000018,0.07
1.7635,-0.020000000000000018,0.11
1.764,-0.020000000000000018,0.01
1.7645,-0.020000000000000018,0.17
1.765,-0.020000000000000018,0.09
1.7655,-0.020000000000000018,0.1
1.766,-0.020000000000000018,0.16
1.7665,0.0,0.29
1.767,-0.010000000000000009,0.24
1.767501,-0.010000000000000009,0.1
1.768,-0.030000000000000027,0.06
1.768501,-0.020000000000000018,0.1
1.769,-0.010000000000000009,0.07
1.7695,-0.020000000000000018,0.21
1.77,-0.020000000000000018,0.06
1.7705,-0.020000000000000018,0.17
1.771,-0.020000000000000018,0.1
1.7715,-0.010000000000000009,0.12
1.772,-0.020000000000000018,0.13
1.7725,-0.010000000000000009,0.09
1.773,-0.010000000000000009,0.1
1.7735,-0.010000000000000009,0.15
1.774,-0.020000000000000018,0.16
1.7745,0.0,0.13
1.775,-0.030000000000000027,0.19
1.775501,-0.020000000000000018,0.16
1.776,-0.020000000000000018,0.1
1.7765,-0.020000000000000018,0.12
1.777,-0.040000000000000036,0.17
1.7775,-0.020000000000000018,0.14
1.778,-0.010000000000000009,0.09
1.7785,-0.010000000000000009,0.12
1.779,-0.020000000000000018,0.12
1.7795,-0.020000000000000018,-0.07
1.78,-0.020000000000000018,0.23
1.7805,0.0,0.2
1.781,-0.020000000000000018,0.04
1.7815,-0.010000000000000009,0.05
1.782,-0.020000000000000018,0.21
1.7825,-0.020000000000000018,0.12
1.783,-0.010000000000000009,0.13
1.7835,-0.020000000000000018,0.16
1.784,-0.020000000000000018,-0.2
1.7845,-0.020000000000000018,0.01
1.785,-0.030000000000000027,0.03
1.785501,-0.010000000000000009,0.21
1.786,-0.020000000000000018,0.15
1.7865,-0.020000000000000018,0.1
1.787,-0.020000000000000018,0.16
1.7875,-0.010000000000000009,0.11
1.788,-0.010000000000000009,0.11
1.7885,-0.010000000000000009,0.02
1.789,-0.020000000000000018,0.12
1.7895,-0.020000000000000018,0.11
1.79,-0.010000000000000009,0.1
1.7905,-0.020000000000000018,0.01
1.791,-0.030000000000000027,0.09
1.7915,-0.030000000000000027,0.02
1.792,-0.020000000000000018,0.12
1.7925,-0.030000000000000027,0.15
1.793,-0.030000000000000027,0.09
1.7935,-0.010000000000000009,0.05
1.794,-0.020000000000000018,0.11
1.7945,-0.020000000000000018,0.14
1.795001,-0.030000000000000027,0.09
1.795501,-0.020000000000000018,0.09
1.796,-0.020000000000000018,0.01
1.7965,-0.030000000000000027,0.33
1.797,-0.010000000000000009,0.18
1.797501,-0.010000000000000009,0.23
1.798,-0.030000000000000027,0.08
1.7985,-0.020000000000000018,0.36
1.799,-0.010000000000000009,0.11
1.7995,-0.020000000000000018,0.14
1.8,-0.020000000000000018,0.22
1.8005,-0.020000000000000018,0.18
1.801,-0.030000000000000027,0.17
1.8015,-0.020000000000000018,0.1
1.802,-0.030000000000000027,0.13
1.8025,-0.010000000000000009,0.11
1.803,-0.020000000000000018,0.04
1.8035,-0.010000000000000009,0.08
1.804,-0.010000000000000009,0.09
1.8045,-0.020000000000000018,0.08
1.805,-0.020000000000000018,0.08
1.8055,-0.010000000000000009,0.1
1.806,-0.020000000000000018,0.17
1.806501,-0.030000000000000027,0.15
1.807,-0.030000000000000027,0.32
1.8075,-0.030000000000000027,0.33
1.808,-0.030000000000000027,0.11
1.8085,-0.020000000000000018,-0.11
1.809,-0.030000000000000027,0.03
1.8095,-0.020000000000000018,0.08
1.81,-0.020000000000000018,0.18
1.8105,-0.020000000000000018,0.11
1.811,-0.010000000000000009,0.21
1.8115,-0.020000000000000018,0.23
1.812,-0.020000000000000018,0.01
1.8125,-0.010000000000000009,0.14
1.813,-0.010000000000000009,0.12
1.8135,-0.020000000000000018,0.21
1.814,-0.020000000000000018,0.02
1.8145,-0.020000000000000018,0.1
1.815,-0.010000000000000009,0.11
1.815501,-0.010000000000000009,0.14
1.816,-0.020000000000000018,0.1
1.8165,-0.020000000000000018,0.08
1.817,-0.020000000000000018,0.09
1.8175,-0.020000000000000018,-0.07
1.818,-0.030000000000000027,0.17
1.8185,-0.020000000000000018,0.3
1.819,-0.020000000000000018,0.15
1.8195,-0.030000000000000027,-0.01
1.82,-0.030000000000000027,0.17
1.8205,-0.030000000000000027,0.17
1.821,-0.010000000000000009,0.03
1.8215,-0.020000000000000018,0.16
1.822,-0.010000000000000009,0.13
1.822501,-0.020000000000000018,0.12
1.823,-0.020000000000000018,0.12
1.823501,-0.020000000000000018,0.12
1.824,-0.020000000000000018,0.13
1.8245,-0.010000000000000009,0.16
1.825,-0.010000000000000009,0.05
1.825501,-0.020000000000000018,0.12
1.826,-0.010000000000000009,0.13
1.8265,-0.010000000000000009,0.15
1.827,0.0,0.17
1.8275,-0.010000000000000009,0.15
1.828,-0.030000000000000027,0.16
1.8285,0.0,0.08
1.829,-0.020000000000000018,0.26
1.8295,-0.020000000000000018,0.08
1.83,-0.020000000000000018,0.09
1.8305,-0.010000000000000009,0.34
1.831,-0.010000000000000009,0.16
1.8315,-0.010000000000000009,0.18
1.832,-0.030000000000000027,-0.07
1.8325,-0.010000000000000009,-0.07
1.833,-0.020000000000000018,0.13
1.8335,-0.020000000000000018,0.07
1.834,-0.020000000000000018,0.17
1.8345,-0.010000000000000009,0.04
1.835,-0.010000000000000009,0.35
1.8355,-0.020000000000000018,0.09
1.836,-0.010000000000000009,0.16
1.8365,-0.020000000000000018,-0.01
1.837,0.0,0.11
1.8375,-0.010000000000000009,0.21
1.838,-0.010000000000000009,0.21
1.8385,-0.010000000000000009,0.11
1.839,-0.010000000000000009,0.08
1.8395,-0.030000000000000027,0.18
1.84,-0.020000000000000018,0.04
1.8405,-0.010000000000000009,-0.12
1.841,-0.020000000000000018,-0.1
1.8415,-0.020000000000000018,0.1
1.842,-0.010000000000000009,0.25
1.8425,-0.010000000000000009,0.08
1.843001,-0.010000000000000009,0.05
1.8435,0.010000000000000009,0.1
1.844,-0.010000000000000009,0.12
1.8445,-0.010000000000000009,0.16
1.845,-0.010000000000000009,0.09
1.8455,-0.010000000000000009,0.12
1.846,0.0,0.23
1.8465,0.0,0.1
1.847,-0.010000000000000009,0.02
1.8475,0.0,0.14
1.848,-0.020000000000000018,0.14
1.848501,0.0,0.16
1.849,-0.010000000000000009,0.12
1.8495,-0.010000000000000009,0.16
1.85,0.0,0.2
1.8505,-0.020000000000000018,0.13
1.851,-0.010000000000000009,0.08
1.8515,-0.010000000000000009,-0.0
1.852,-0.010000000000000009,0.19
1.8525,-0.010000000000000009,0.07
1.853,0.0,0.1
1.8535,0.0,0.03
1.854,-0.010000000000000009,0.05
1.8545,-0.010000000000000009,0.18
1.855,-0.020000000000000018,0.12
1.8555,-0.010000000000000009,0.07
1.856,-0.010000000000000009,0.1
1.8565,0.0,0.15
1.857,-0.010000000000000009,0.15
1.8575,-0.010000000000000009,0.01
1.858,-0.010000000000000009,0.21
1.8585,-0.010000000000000009,0.16
1.859001,-0.010000000000000009,-0.01
1.8595,-0.010000000000000009,0.2
1.86,-0.010000000000000009,0.06
1.8605,-0.010000000000000009,0.14
1.861,-0.020000000000000018,0.16
1.8615,0.0,0.19
1.862,-0.010000000000000009,-0.0
1.8625,-0.010000000000000009,0.13
1.863,-0.020000000000000018,0.11
1.863501,-0.020000000000000018,0.15
1.864,-0.010000000000000009,0.03
1.8645,0.0,0.18
1.865,0.0,0.12
1.8655,0.0,0.08
1.866,0.0,0.13
1.8665,-0.020000000000000018,0.25
1.867,-0.010000000000000009,0.37
1.8675,0.0,0.14
1.868,-0.010000000000000009,0.13
1.8685,-0.010000000000000009,0.06
1.869,-0.010000000000000009,0.14
1.869501,-0.010000000000000009,0.08
1.87,-0.020000000000000018,0.17
1.8705,-0.010000000000000009,0.17
1.871,-0.010000000000000009,0.11
1.8715,0.0,0.13
1.872,0.0,0.1
1.872501,0.0,0.14
1.873,-0.020000000000000018,0.12
1.8735,-0.020000000000000018,0.09
1.874,-0.010000000000000009,0.5
1.8745,0.0,0.1
1.875,0.0,0.34
1.8755,0.0,0.14
1.876,-0.010000000000000009,0.18
1.876501,-0.010000000000000009,0.08
1.877,-0.010000000000000009,0.14
