Time (s),A0 (g),Force(N)
0.0,-0.020000000000000018,0.1
0.000501,-0.030000000000000027,0.28
0.001,-0.020000000000000018,0.11
0.0015,-0.020000000000000018,-0.01
0.002,-0.020000000000000018,0.12
0.0025,-0.020000000000000018,-0.03
0.003,-0.030000000000000027,0.25
0.0035,-0.020000000000000018,0.22
0.004,-0.020000000000000018,0.04
0.004501,-0.030000000000000027,0.23
0.005,-0.020000000000000018,0.16
0.0055,-0.030000000000000027,0.15
0.006,-0.010000000000000009,0.22
0.0065,-0.020000000000000018,0.17
0.007,-0.020000000000000018,0.3
0.007501,-0.020000000000000018,0.33
0.008,-0.010000000000000009,0.05
0.0085,-0.010000000000000009,0.18
0.009,-0.010000000000000009,0.28
0.009501,-0.010000000000000009,0.26
0.01,-0.030000000000000027,0.17
0.010501,-0.020000000000000018,0.15
0.011,-0.010000000000000009,0.1
0.0115,-0.020000000000000018,0.1
0.012,-0.020000000000000018,0.26
0.0125,-0.020000000000000018,0.07
0.013,-0.020000000000000018,0.24
0.013501,-0.010000000000000009,0.23
0.014,-0.010000000000000009,0.07
0.0145,-0.030000000000000027,0.2
0.015,-0.010000000000000009,0.21
0.0155,-0.010000000000000009,0.01
0.016,-0.020000000000000018,0.15
0.0165,-0.030000000000000027,0.19
0.017,-0.010000000000000009,0.14
0.0175,-0.020000000000000018,0.08
0.018,-0.020000000000000018,0.25
0.0185,-0.010000000000000009,0.14
0.019,-0.020000000000000018,0.1
0.0195,-0.020000000000000018,0.19
0.02,-0.030000000000000027,0.22
0.0205,0.0,0.06
0.021,-0.020000000000000018,0.27
0.0215,-0.030000000000000027,0.2
0.022,-0.020000000000000018,0.11
0.0225,-0.020000000000000018,0.57
0.023,-0.020000000000000018,0.14
0.0235,-0.020000000000000018,0.21
0.024,-0.030000000000000027,0.08
0.0245,-0.010000000000000009,0.22
0.025,-0.010000000000000009,0.1
0.025501,-0.020000000000000018,0.27
0.026,-0.020000000000000018,0.2
0.0265,0.0,-0.09
0.027,-0.010000000000000009,-0.03
0.0275,-0.020000000000000018,0.3
0.028,-0.020000000000000018,-0.02
0.0285,-0.010000000000000009,-0.06
0.029,-0.010000000000000009,0.01
0.0295,-0.030000000000000027,0.23
0.03,-0.020000000000000018,0.3
0.0305,-0.020000000000000018,0.08
0.031,-0.010000000000000009,0.11
0.0315,-0.010000000000000009,-0.04
0.032,-0.010000000000000009,0.14
0.032501,-0.020000000000000018,0.13
0.033,-0.030000000000000027,0.25
0.0335,-0.020000000000000018,0.23
0.034,-0.020000000000000018,0.12
0.0345,-0.010000000000000009,0.16
0.035,-0.020000000000000018,0.2
0.0355,-0.010000000000000009,0.19
0.036,-0.010000000000000009,-0.28
0.0365,-0.020000000000000018,0.09
0.037,-0.010000000000000009,0.1
0.0375,-0.030000000000000027,0.02
0.038,-0.010000000000000009,0.29
0.0385,-0.020000000000000018,0.16
0.039,-0.020000000000000018,0.25
0.0395,-0.020000000000000018,0.05
0.04,-0.010000000000000009,0.48
0.040501,-0.020000000000000018,0.18
0.041,-0.020000000000000018,0.05
0.0415,-0.010000000000000009,0.21
0.042,-0.010000000000000009,0.32
0.0425,-0.010000000000000009,0.26
0.043,-0.020000000000000018,0.08
0.043501,-0.020000000000000018,0.13
0.044,-0.020000000000000018,0.16
0.0445,-0.020000000000000018,0.41
0.045,0.0,0.3
0.0455,-0.010000000000000009,0.1
0.046,-0.010000000000000009,0.37
0.0465,-0.020000000000000018,0.23
0.047,-0.010000000000000009,0.05
0.047501,-0.010000000000000009,-0.09
0.048,-0.010000000000000009,0.12
0.0485,-0.010000000000000009,0.03
0.049,-0.010000000000000009,0.19
0.0495,0.0,0.1
0.05,-0.020000000000000018,0.22
0.050501,-0.020000000000000018,0.14
0.051001,-0.010000000000000009,0.28
0.0515,-0.020000000000000018,-0.01
0.052,-0.030000000000000027,0.15
0.0525,-0.010000000000000009,-0.04
0.053,-0.010000000000000009,0.27
0.0535,-0.020000000000000018,0.2
0.054,-0.030000000000000027,0.36
0.054501,-0.020000000000000018,0.14
0.055,-0.020000000000000018,0.19
0.0555,-0.010000000000000009,0.15
0.056001,0.0,0.12
0.0565,-0.010000000000000009,0.18
0.057,-0.010000000000000009,0.06
0.0575,-0.010000000000000009,0.1
0.058,-0.010000000000000009,0.18
0.0585,0.0,0.21
0.059,-0.010000000000000009,0.15
0.0595,-0.020000000000000018,0.24
0.06,0.0,0.16
0.060501,-0.020000000000000018,0.12
0.061,-0.010000000000000009,0.24
0.0615,0.0,0.07
0.062,-0.010000000000000009,0.26
0.0625,-0.010000000000000009,0.27
0.063,-0.010000000000000009,0.11
0.0635,-0.020000000000000018,0.18
0.064,-0.020000000000000018,0.13
0.0645,-0.010000000000000009,0.18
0.065,0.0,0.17
0.0655,-0.010000000000000009,0.2
0.066,-0.020000000000000018,0.1
0.0665,0.0,0.26
0.067,-0.010000000000000009,0.07
0.0675,-0.010000000000000009,0.27
0.068,0.0,0.18
0.0685,-0.010000000000000009,0.3
0.069,-0.020000000000000018,-0.1
0.0695,-0.010000000000000009,0.11
0.07,-0.010000000000000009,-0.02
0.0705,-0.010000000000000009,0.27
0.071001,-0.010000000000000009,0.25
0.0715,-0.010000000000000009,0.12
0.072,-0.010000000000000009,0.07
0.0725,-0.020000000000000018,0.14
0.073,-0.010000000000000009,0.19
0.073501,0.0,0.14
0.074,0.0,0.19
0.0745,-0.020000000000000018,0.09
0.075,-0.020000000000000018,0.19
0.0755,-0.010000000000000009,0.28
0.076,0.0,0.33
0.0765,-0.010000000000000009,0.1
0.077,-0.030000000000000027,0.04
0.0775,-0.020000000000000018,0.21
0.078,-0.010000000000000009,0.2
0.0785,-0.010000000000000009,0.07
