Time (s),A0 (g)
0.316624,0.11
0.317544,0.08
0.31846,0.11
0.31938,-0.1
0.320304,0.15
0.321212,0.04
0.322124,0.15
0.323048,0.22
0.323972,0.08
0.324888,-0.17
0.32582,0.18
0.326744,-0.14
0.32768,0.15
0.3286,-0.14
0.329528,0.15
0.330436,0.08
0.33134,-0.03
0.332264,0.11
0.333188,-0.17
0.334124,0.15
0.335048,0.08
0.33596,-0.14
0.336896,0.15
0.337816,0.08
0.338724,-0.14
0.339656,0.15
0.340568,0.01
0.341488,0.15
0.342408,0.22
0.343332,-0.14
0.344268,0.18
0.345184,0.22
0.346116,-0.1
0.347052,0.15
0.347972,0.04
0.348884,-0.1
0.349816,0.22
0.35074,-0.17
0.351676,0.11
0.3526,-0.1
0.35354,0.15
0.35446,-0.1
0.355392,0.15
0.356308,0.08
0.357212,0.08
0.35812,0.11
0.359044,-0.17
0.35998,0.15
0.360904,-0.14
0.36184,0.15
0.36276,0.01
0.363676,0.11
0.364604,0.08
0.36552,-0.07
0.366436,0.11
0.367348,0.08
0.368252,-0.17
0.369184,0.15
0.370104,0.11
0.371024,0.11
0.371944,0.11
0.372872,0.08
0.373792,0.18
0.374712,-0.03
0.37564,0.18
0.376556,-0.1
0.377488,0.15
0.3784,0.11
0.379316,-0.17
0.380248,0.18
0.381168,0.11
0.382088,0.08
0.383,0.11
0.38392,-0.17
0.384856,0.15
0.385772,-0.1
0.386704,0.15
0.387624,0.01
0.388536,0.08
0.389452,0.15
0.390372,0.11
0.391292,-0.03
0.392216,0.11
0.393148,-0.07
0.394072,0.26
0.394996,-0.14
0.395932,0.18
0.396852,-0.1
0.397788,0.11
0.398716,0.08
0.399632,0.11
0.400564,0.11
0.401488,0.11
0.402404,0.11
0.403324,0.11
0.404236,0.11
0.405156,-0.1
0.406088,0.11
0.407008,-0.14
0.407944,0.15
0.408864,0.04
0.40978,0.01
0.4107,0.11
0.411624,-0.1
0.412556,0.11
0.413472,-0.14
0.414404,0.15
0.415316,0.11
0.416236,0.11
0.417164,0.04
0.418084,0.04
0.419004,0.15
0.419928,0.01
0.420844,0.11
0.421768,0.11
0.422692,0.04
0.423604,0.11
0.424524,0.01
0.425436,0.04
0.426352,0.15
0.427268,0.01
0.42818,0.08
0.429096,0.18
0.430024,-0.1
0.430952,0.11
0.431868,-0.1
0.4328,0.15
0.433712,0.11
0.43464,-0.1
0.435572,0.11
0.436496,-0.1
0.437432,0.15
0.438348,0.11
0.439268,0.08
0.440172,0.11
0.4411,-0.1
0.442032,0.18
0.442948,0.11
0.443876,0.08
0.444792,0.11
0.445716,-0.14
0.446656,0.18
0.447576,-0.17
0.448512,0.18
0.449428,-0.17
0.450356,0.11
0.45128,-0.17
0.452204,0.15
0.453128,0.08
0.45404,-0.14
0.454976,0.15
0.455896,0.08
0.456808,0.11
0.457736,0.11
0.458668,0.08
0.45958,0.11
0.4605,-0.07
0.46142,0.11
0.46234,0.18
0.46326,-0.17
0.464192,0.15
0.465124,-0.1
0.46606,0.15
0.466984,0.01
0.467896,0.08
0.468812,0.18
0.469732,-0.1
0.470664,0.11
0.471584,0.11
0.472516,0.04
0.473428,0.18
0.474348,-0.14
0.475284,0.15
0.476204,0.01
0.477124,-0.03
0.478048,0.15
0.47896,0.01
0.479876,0.04
0.480796,0.15
0.48172,0.04
0.482636,0.15
0.48356,0.01
0.484484,0.15
0.485404,0.11
0.486324,-0.03
0.487244,0.22
0.488164,-0.07
0.489092,0.15
0.490016,0.08
0.490928,0.04
0.491844,0.18
0.492768,-0.1
0.493708,0.15
0.494632,-0.03
0.49556,0.15
0.496484,-0.07
0.497404,0.08
0.498308,0.18
0.499228,-0.17
0.500168,0.08
0.50108,0.08
0.502,0.18
0.50292,-0.17
0.503864,0.11
0.504788,-0.17
0.505728,0.11
0.506644,-0.17
0.507576,0.08
0.508484,0.22
0.509404,-0.17
0.510336,0.15
0.51126,0.08
0.512172,0.08
0.513092,0.11
0.514016,0.11
0.514948,0.15
0.515868,-0.1
0.5168,0.11
0.517716,-0.1
0.518652,0.11
0.519576,0.04
0.5205,0.11
0.52142,-0.1
0.522352,0.15
0.523268,0.11
0.524188,0.11
0.525108,0.22
0.526028,-0.1
0.52696,0.22
0.527884,-0.03
0.52882,0.22
0.529744,0.01
0.530656,0.11
0.531576,0.11
0.532496,-0.17
0.53342,0.15
0.534328,0.11
0.535244,-0.07
0.536168,0.15
0.537084,0.11
0.538008,-0.03
0.538932,0.22
0.539856,-0.17
0.540788,0.11
0.541712,-0.1
0.542644,0.08
0.543552,0.15
0.54446,0.15
0.545372,-0.17
0.546304,0.11
0.547216,-0.14
0.54816,0.11
0.54908,-0.17
0.550012,0.15
0.550932,0.08
0.551848,-0.17
0.552776,0.15
0.553688,-0.03
0.554608,0.15
0.555528,-0.03
0.556448,0.08
0.557352,0.11
0.558268,-0.07
0.559192,0.08
0.560104,0.22
0.561024,-0.17
0.561956,0.15
0.562872,-0.17
0.5638,0.11
0.56472,0.04
0.565632,0.08
0.566544,0.22
0.56746,-0.17
0.568392,0.15
0.569304,0.08
0.570212,-0.17
0.571144,0.15
0.572056,0.11
0.572972,0.04
0.573888,0.15
0.574816,0.08
0.575728,0.08
0.57664,0.15
0.57756,-0.17
0.578492,0.26
0.579404,0.08
0.580308,-0.17
0.581232,0.11
0.582152,0.11
0.583072,0.04
0.583984,0.08
0.584904,0.15
0.585824,-0.07
0.586752,0.11
0.587672,-0.14
0.5886,0.11
0.589516,-0.17
0.590444,0.15
0.59136,0.08
0.592276,0.04
0.593184,0.18
0.594112,-0.17
0.595044,0.15
0.595964,0.08
0.59688,0.04
0.597788,0.15
0.598704,0.04
0.599612,0.04
0.600528,0.11
0.601448,-0.17
0.602384,0.15
0.603296,0.08
0.604208,-0.17
0.605148,0.11
0.606072,-0.1
0.606996,0.08
0.607904,0.11
0.608828,-0.14
0.609768,0.15
0.610688,0.08
0.6116,-0.03
0.612524,0.11
0.61344,-0.17
0.614376,0.15
0.615288,0.11
0.616196,-0.07
0.61712,0.18
0.618032,-0.17
0.618964,0.11
0.619888,-0.17
0.62082,0.15
0.621744,0.08
0.622656,0.04
0.623568,0.08
0.62448,0.11
0.625396,0.11
0.626308,0.01
0.62722,0.11
0.628144,0.11
0.629064,0.08
0.629976,0.15
0.630896,-0.1
0.631828,0.11
0.632752,-0.1
0.633676,0.11
0.634596,0.11
0.635516,0.11
0.636436,-0.14
0.637368,0.11
0.63828,-0.07
0.639208,0.11
0.640128,0.11
0.641048,-0.03
0.641972,0.11
0.642892,-0.07
0.643816,0.15
0.644728,0.11
0.645648,-0.07
0.646576,0.15
0.647496,0.01
0.648404,0.11
0.649324,0.08
0.650236,0.11
0.65116,0.11
0.652072,-0.17
0.653008,0.15
0.65392,-0.17
0.65486,0.11
0.655784,-0.14
0.65672,0.11
0.65764,0.01
0.658552,0.08
0.659456,0.18
0.660376,-0.17
0.661296,0.15
0.662204,0.11
0.663124,-0.1
0.66406,0.11
0.664984,-0.14
0.66592,0.15
0.66684,0.11
0.66776,-0.17
0.668692,0.15
0.669616,0.18
0.670528,-0.14
0.67146,0.15
0.672372,0.11
0.673288,-0.07
0.674216,0.15
0.675136,-0.1
0.676068,0.11
0.676992,-0.17
0.677924,0.22
