Time (s),A0 (g),Force(N)
0.0,-0.010000000000000009,0.08
0.0005,-0.010000000000000009,0.18
0.001,-0.010000000000000009,-0.11
0.0015,-0.010000000000000009,0.07
0.002,-0.030000000000000027,0.27
0.0025,-0.010000000000000009,0.02
0.003,0.0,0.25
0.003501,-0.010000000000000009,0.24
0.004,-0.020000000000000018,0.18
0.0045,-0.010000000000000009,0.17
0.005,0.0,0.35
0.0055,-0.010000000000000009,0.23
0.006,0.0,0.13
0.006501,-0.010000000000000009,0.08
0.007,-0.020000000000000018,0.04
0.007501,-0.010000000000000009,-0.18
0.008,0.0,0.18
0.008501,-0.020000000000000018,0.08
0.009,0.0,0.18
0.0095,0.0,0.08
0.01,0.0,0.07
0.0105,-0.010000000000000009,0.12
0.011,-0.010000000000000009,-0.11
0.0115,0.010000000000000009,0.1
0.012,-0.010000000000000009,0.12
0.0125,0.0,0.36
0.013,-0.010000000000000009,0.13
0.0135,0.0,0.09
0.014,-0.010000000000000009,0.16
1.6315,0.010000000000000009,-0.11
1.632,-0.010000000000000009,0.24
1.6325,-0.010000000000000009,0.03
1.633,0.0,0.15
1.6335,-0.010000000000000009,0.05
1.634,-0.010000000000000009,0.14
1.6345,0.0,-0.02
1.635,0.0,0.04
1.635501,-0.030000000000000027,0.46
1.636,-0.010000000000000009,0.3
1.6365,-0.020000000000000018,-0.05
1.637,-0.010000000000000009,0.19
1.6375,-0.010000000000000009,0.14
1.638,0.0,0.15
1.638501,-0.020000000000000018,0.1
1.639,-0.010000000000000009,0.06
1.6395,-0.010000000000000009,0.37
1.64,-0.010000000000000009,-0.06
1.6405,-0.010000000000000009,0.06
1.641,-0.010000000000000009,0.1
1.6415,-0.010000000000000009,0.05
1.642,-0.010000000000000009,0.27
1.6425,-0.020000000000000018,0.15
1.643,-0.020000000000000018,0.1
1.6435,-0.020000000000000018,0.1
1.644,-0.020000000000000018,0.16
1.644501,-0.010000000000000009,0.2
1.645,-0.010000000000000009,0.05
1.6455,0.0,0.16
1.646,-0.020000000000000018,0.12
1.6465,0.0,0.23
1.647,0.010000000000000009,-0.04
1.6475,-0.020000000000000018,0.15
1.648,-0.020000000000000018,0.01
1.6485,-0.010000000000000009,0.12
1.649,-0.010000000000000009,0.04
1.6495,-0.010000000000000009,0.27
1.65,-0.020000000000000018,0.03
1.650501,0.0,0.17
1.651,-0.020000000000000018,0.15
1.6515,-0.010000000000000009,0.17
1.652,-0.030000000000000027,0.03
1.652501,-0.010000000000000009,0.12
1.653,-0.010000000000000009,0.02
1.6535,-0.020000000000000018,0.27
1.654001,-0.010000000000000009,-0.13
1.654501,0.0,0.26
1.655,-0.010000000000000009,0.06
1.6555,-0.030000000000000027,0.01
1.656,-0.020000000000000018,0.18
1.6565,-0.010000000000000009,0.14
1.657,-0.020000000000000018,0.07
1.6575,-0.030000000000000027,0.43
1.658,-0.020000000000000018,-0.05
1.6585,-0.010000000000000009,0.02
1.659,-0.020000000000000018,0.1
1.6595,-0.020000000000000018,0.08
1.66,-0.010000000000000009,0.04
1.660501,-0.010000000000000009,0.1
1.661,-0.010000000000000009,0.07
1.6615,-0.010000000000000009,0.21
1.662,-0.020000000000000018,0.04
1.6625,-0.010000000000000009,-0.05
1.663,-0.010000000000000009,0.06
1.663501,-0.020000000000000018,0.09
1.664,-0.010000000000000009,0.25
1.6645,-0.010000000000000009,0.1
1.665,-0.010000000000000009,0.04
1.665501,-0.020000000000000018,0.29
1.666,-0.020000000000000018,0.16
1.6665,-0.010000000000000009,-0.29
1.667,-0.020000000000000018,0.31
1.6675,-0.020000000000000018,0.1
1.668,-0.020000000000000018,0.09
1.668501,-0.010000000000000009,0.46
1.669,-0.020000000000000018,-0.04
1.6695,-0.010000000000000009,0.13
1.67,-0.010000000000000009,0.11
1.6705,-0.030000000000000027,0.1
1.671,-0.020000000000000018,0.17
1.6715,-0.010000000000000009,0.02
1.672,-0.010000000000000009,0.05
1.6725,-0.010000000000000009,0.01
1.673,-0.010000000000000009,0.2
1.6735,-0.030000000000000027,0.01
1.674,-0.020000000000000018,0.1
1.6745,-0.030000000000000027,0.15
1.675,-0.030000000000000027,-0.05
1.6755,-0.030000000000000027,0.25
1.676,-0.020000000000000018,0.18
1.6765,-0.030000000000000027,0.15
1.677,-0.020000000000000018,0.19
1.6775,-0.030000000000000027,0.04
1.678,-0.020000000000000018,0.26
1.6785,-0.020000000000000018,-0.16
1.679,-0.030000000000000027,0.22
1.6795,-0.030000000000000027,0.07
1.68,-0.010000000000000009,0.23
1.6805,-0.030000000000000027,-0.07
1.681,-0.020000000000000018,0.22
1.681501,-0.030000000000000027,0.53
1.682,-0.020000000000000018,0.25
1.6825,-0.030000000000000027,0.2
1.683,-0.020000000000000018,0.07
1.6835,-0.020000000000000018,0.19
1.684,-0.010000000000000009,0.31
1.684501,-0.030000000000000027,0.14
1.685,-0.020000000000000018,0.01
1.685501,-0.030000000000000027,-0.01
1.686,-0.030000000000000027,0.22
1.6865,-0.030000000000000027,0.05
1.687,-0.010000000000000009,-0.0
1.687501,-0.020000000000000018,0.24
1.688,-0.040000000000000036,0.08
1.6885,-0.030000000000000027,0.22
1.689,-0.030000000000000027,0.3
1.6895,-0.020000000000000018,0.15
1.69,-0.010000000000000009,-0.09
1.6905,-0.030000000000000027,0.19
1.691,-0.030000000000000027,0.21
1.6915,-0.030000000000000027,0.17
1.692,-0.020000000000000018,0.28
1.692501,-0.030000000000000027,0.15
1.693,-0.030000000000000027,0.34
1.6935,-0.030000000000000027,-0.04
1.694,-0.030000000000000027,0.23
1.694501,-0.030000000000000027,0.32
1.695,-0.020000000000000018,-0.0
1.6955,-0.020000000000000018,-0.06
1.696,-0.020000000000000018,0.24
1.6965,-0.030000000000000027,0.1
1.697,-0.030000000000000027,0.12
1.6975,-0.030000000000000027,0.12
1.698,-0.020000000000000018,0.01
1.6985,-0.010000000000000009,0.18
1.699,-0.030000000000000027,0.18
1.6995,-0.040000000000000036,0.04
1.7,-0.030000000000000027,0.1
1.7005,-0.020000000000000018,0.22
1.701,-0.030000000000000027,0.36
1.7015,-0.020000000000000018,0.18
1.702,-0.030000000000000027,-0.15
1.7025,-0.030000000000000027,0.25
1.703,-0.030000000000000027,0.19
1.7035,-0.020000000000000018,0.1
1.704,-0.020000000000000018,0.08
1.7045,-0.020000000000000018,0.09
1.705,-0.020000000000000018,0.1
1.7055,-0.030000000000000027,-0.02
1.706,-0.010000000000000009,0.08
1.7065,-0.020000000000000018,0.16
1.707,-0.030000000000000027,0.1
1.7075,-0.020000000000000018,0.1
1.708,-0.020000000000000018,0.15
1.708501,-0.030000000000000027,0.33
1.709,-0.010000000000000009,0.08
1.7095,-0.020000000000000018,0.07
1.71,-0.020000000000000018,0.12
1.7105,-0.030000000000000027,0.17
1.711,-0.030000000000000027,0.07
1.7115,-0.030000000000000027,0.1
1.712,-0.010000000000000009,0.28
1.7125,-0.030000000000000027,0.16
1.713,-0.020000000000000018,-0.06
1.713501,-0.020000000000000018,0.27
1.714,-0.030000000000000027,0.4
1.7145,-0.030000000000000027,0.3
1.715,-0.030000000000000027,0.5
1.7155,-0.040000000000000036,0.06
1.716,-0.020000000000000018,0.03
1.7165,-0.020000000000000018,0.18
1.717,-0.020000000000000018,0.05
1.7175,-0.020000000000000018,0.09
1.718,-0.030000000000000027,-0.03
1.7185,-0.020000000000000018,-0.08
1.719,-0.030000000000000027,0.23
1.7195,-0.020000000000000018,0.24
1.720001,-0.030000000000000027,0.13
1.7205,-0.010000000000000009,0.09
1.721,-0.020000000000000018,0.18
1.7215,-0.010000000000000009,-0.17
1.722,-0.020000000000000018,0.18
1.722501,-0.020000000000000018,-0.09
1.723,-0.020000000000000018,0.16
1.7235,-0.020000000000000018,0.33
1.724,-0.020000000000000018,0.03
1.7245,-0.040000000000000036,0.05
1.725,-0.020000000000000018,0.14
1.7255,-0.010000000000000009,-0.13
1.726,-0.030000000000000027,0.21
1.7265,-0.020000000000000018,0.03
1.727,-0.010000000000000009,-0.02
1.7275,-0.040000000000000036,0.14
1.728,-0.040000000000000036,0.18
1.7285,-0.010000000000000009,0.41
1.729,-0.020000000000000018,0.22
1.7295,-0.020000000000000018,0.18
1.73,-0.020000000000000018,0.21
1.730501,-0.010000000000000009,0.32
1.731,-0.020000000000000018,0.1
1.7315,-0.030000000000000027,-0.02
