Time (s),A0 (g),Force(N)
0.0,-0.030000000000000027,0.1
0.0005,-0.040000000000000036,0.08
0.001,-0.040000000000000036,0.18
0.0015,-0.020000000000000018,0.09
0.002,-0.020000000000000018,0.15
0.0025,-0.030000000000000027,0.07
0.003,-0.030000000000000027,0.05
0.003501,-0.030000000000000027,0.2
0.004,-0.020000000000000018,0.09
0.0045,-0.020000000000000018,0.16
0.005,-0.020000000000000018,0.21
0.0055,-0.020000000000000018,0.1
0.006,-0.020000000000000018,0.25
0.0065,-0.020000000000000018,0.04
0.007,-0.040000000000000036,0.2
0.007501,-0.030000000000000027,0.07
0.008,-0.040000000000000036,0.01
0.0085,-0.010000000000000009,0.18
0.009,-0.020000000000000018,0.16
0.009501,-0.030000000000000027,0.02
0.01,-0.030000000000000027,0.28
0.0105,-0.010000000000000009,0.27
0.011001,-0.030000000000000027,0.05
0.0115,-0.030000000000000027,0.32
0.012,-0.030000000000000027,0.19
0.0125,-0.040000000000000036,0.19
0.013,-0.030000000000000027,0.3
0.0135,-0.030000000000000027,0.1
0.014,-0.020000000000000018,0.15
0.0145,-0.020000000000000018,0.13
0.015,-0.020000000000000018,0.15
0.0155,-0.030000000000000027,0.11
0.016,-0.030000000000000027,0.15
0.0165,-0.030000000000000027,0.07
0.017,-0.020000000000000018,0.19
0.0175,-0.020000000000000018,0.15
0.018,-0.030000000000000027,0.11
0.0185,-0.030000000000000027,0.16
0.019001,-0.010000000000000009,0.02
0.0195,-0.020000000000000018,0.13
0.02,-0.020000000000000018,0.17
0.0205,-0.030000000000000027,0.05
0.021,-0.020000000000000018,0.05
0.0215,-0.020000000000000018,0.11
0.022,-0.030000000000000027,0.18
0.0225,-0.020000000000000018,0.09
0.023,-0.010000000000000009,0.17
0.0235,-0.020000000000000018,0.02
0.024,-0.030000000000000027,0.18
0.0245,-0.020000000000000018,0.21
0.025,-0.030000000000000027,-0.09
0.0255,-0.030000000000000027,0.13
0.026,-0.030000000000000027,0.23
0.0265,-0.020000000000000018,0.26
0.027,-0.030000000000000027,0.18
0.027501,-0.020000000000000018,0.12
0.028,-0.030000000000000027,0.1
0.0285,-0.030000000000000027,0.15
0.029,-0.020000000000000018,0.19
0.0295,-0.020000000000000018,0.09
0.03,-0.020000000000000018,0.11
0.030501,-0.020000000000000018,0.02
0.031,-0.030000000000000027,0.16
0.0315,-0.030000000000000027,0.13
0.032,-0.040000000000000036,0.26
0.0325,-0.020000000000000018,0.18
0.033,-0.020000000000000018,0.23
0.0335,-0.020000000000000018,0.15
0.034,-0.020000000000000018,0.09
0.0345,-0.020000000000000018,0.24
0.035,-0.020000000000000018,0.1
0.0355,-0.020000000000000018,0.09
0.036,-0.020000000000000018,0.01
