Time (s),A0 (g)
0.0,-0.010000000000000009
0.005016,0.0
0.010032,-0.010000000000000009
0.015048,-0.010000000000000009
0.020064,0.0
0.02508,-0.020000000000000018
0.030096,0.0
0.035112,-0.010000000000000009
0.040128,0.0
0.045144,-0.010000000000000009
0.05016,-0.010000000000000009
0.055176,-0.020000000000000018
0.060192,0.0
0.065208,0.0
0.070224,0.0
0.07524,0.0
0.080256,0.0
0.085272,0.0
0.090288,-0.010000000000000009
0.095304,-0.010000000000000009
0.10032,0.010000000000000009
0.105336,-0.010000000000000009
0.110352,0.0
0.115367,-0.010000000000000009
0.120383,0.0
0.125399,0.010000000000000009
0.130415,-0.010000000000000009
0.135431,0.0
0.140447,0.0
0.145462,0.010000000000000009
0.150478,0.0
0.155493,-0.010000000000000009
0.160509,0.0
0.165524,0.0
0.17054,0.0
0.175556,0.0
0.180572,-0.010000000000000009
0.185587,-0.010000000000000009
0.190603,0.0
0.195619,-0.010000000000000009
0.200636,-0.010000000000000009
0.205651,-0.010000000000000009
0.210667,-0.010000000000000009
0.215682,-0.010000000000000009
0.220698,-0.010000000000000009
0.225714,-0.010000000000000009
0.23073,-0.020000000000000018
0.235746,-0.010000000000000009
0.240762,-0.010000000000000009
0.245778,-0.010000000000000009
0.250794,-0.010000000000000009
0.255809,-0.010000000000000009
0.260825,-0.020000000000000018
0.265841,0.0
0.270857,0.0
0.275873,0.0
0.280889,-0.010000000000000009
0.285905,-0.020000000000000018
0.290921,0.0
0.295937,-0.010000000000000009
0.300953,-0.010000000000000009
0.305969,-0.010000000000000009
0.310985,0.0
0.316001,-0.020000000000000018
0.321017,0.0
0.326033,-0.010000000000000009
0.331049,0.010000000000000009
0.336065,-0.010000000000000009
0.341081,0.0
0.346097,-0.020000000000000018
0.351113,-0.010000000000000009
0.356129,0.0
0.361145,0.0
0.366161,0.010000000000000009
0.371177,-0.010000000000000009
0.376193,-0.010000000000000009
0.381209,0.020000000000000018
0.386224,-0.010000000000000009
0.39124,0.0
0.396256,0.010000000000000009
0.401272,-0.010000000000000009
0.406287,-0.010000000000000009
0.411303,-0.010000000000000009
0.416319,0.0
0.421335,0.0
0.42635,-0.010000000000000009
0.431366,-0.010000000000000009
0.436382,-0.010000000000000009
0.441398,0.0
0.446413,-0.010000000000000009
0.451429,-0.010000000000000009
0.456445,-0.010000000000000009
0.461461,0.0
0.466476,0.0
0.471492,-0.010000000000000009
0.476508,-0.020000000000000018
0.481524,-0.010000000000000009
0.486539,-0.010000000000000009
0.491555,-0.010000000000000009
0.496571,-0.010000000000000009
0.501587,-0.010000000000000009
0.506603,-0.010000000000000009
0.511619,0.0
0.516636,-0.010000000000000009
0.521652,-0.010000000000000009
0.526668,-0.020000000000000018
0.531684,-0.010000000000000009
0.5367,-0.010000000000000009
0.541716,0.0
0.546732,-0.010000000000000009
0.551748,-0.010000000000000009
0.556764,-0.020000000000000018
0.56178,0.0
0.566796,-0.010000000000000009
0.571812,0.0
0.576828,-0.010000000000000009
0.581844,0.0
0.586859,-0.010000000000000009
0.591875,0.0
0.59689,-0.010000000000000009
0.601906,-0.020000000000000018
0.606921,0.0
0.611937,-0.010000000000000009
0.616953,0.0
0.621969,-0.010000000000000009
0.626985,-0.020000000000000018
0.632001,0.0
0.637017,0.0
0.642033,-0.010000000000000009
0.647049,0.0
0.652065,-0.010000000000000009
0.65708,0.0
0.662096,0.0
0.667112,-0.010000000000000009
0.672128,0.0
0.677143,0.0
0.682159,0.0
0.687175,-0.010000000000000009
0.692191,0.0
0.697206,-0.010000000000000009
0.702222,-0.020000000000000018
0.707238,-0.010000000000000009
0.712254,0.0
0.717269,-0.010000000000000009
0.722285,0.0
0.7273,0.0
0.732316,-0.020000000000000018
0.737332,-0.010000000000000009
0.742348,-0.010000000000000009
0.747363,0.0
0.752379,-0.010000000000000009
0.757395,-0.010000000000000009
0.762411,-0.010000000000000009
0.767427,-0.010000000000000009
0.772443,-0.020000000000000018
0.777458,-0.030000000000000027
0.782474,0.0
0.78749,-0.010000000000000009
0.792506,-0.020000000000000018
0.797521,0.0
0.802537,0.0
0.807553,-0.020000000000000018
0.812569,-0.020000000000000018
0.817585,-0.010000000000000009
0.822601,-0.020000000000000018
0.827617,0.0
0.832634,-0.010000000000000009
0.83765,0.0
0.842666,0.0
0.847682,-0.030000000000000027
0.852698,-0.010000000000000009
0.857714,-0.010000000000000009
0.86273,0.010000000000000009
0.867746,-0.010000000000000009
0.872762,-0.010000000000000009
0.877778,-0.010000000000000009
0.882794,0.0
0.88781,-0.010000000000000009
0.892826,-0.020000000000000018
0.897841,0.0
0.902857,0.0
0.907873,0.0
0.912888,-0.010000000000000009
0.917904,-0.010000000000000009
0.92292,0.0
0.927935,-0.010000000000000009
0.932951,0.0
0.937967,0.010000000000000009
0.942983,-0.010000000000000009
0.947999,0.0
0.953015,0.0
0.95803,-0.010000000000000009
0.963046,0.0
0.968062,-0.010000000000000009
0.973078,0.0
0.978094,0.0
0.98311,-0.010000000000000009
0.988125,-0.010000000000000009
0.993141,0.010000000000000009
0.998157,0.0
1.003173,-0.010000000000000009
1.008189,-0.010000000000000009
1.013205,-0.010000000000000009
1.01822,0.0
1.023236,0.0
1.028252,-0.010000000000000009
1.033268,-0.010000000000000009
1.038283,-0.010000000000000009
1.043299,0.0
1.048315,0.020000000000000018
1.05333,-0.010000000000000009
1.058346,0.0
1.063362,-0.020000000000000018
1.068378,-0.010000000000000009
1.073394,-0.020000000000000018
1.07841,-0.010000000000000009
1.083426,-0.020000000000000018
1.088442,-0.020000000000000018
1.093458,-0.020000000000000018
1.098474,0.0
1.10349,-0.020000000000000018
1.108505,-0.010000000000000009
1.113521,-0.010000000000000009
1.118537,-0.020000000000000018
1.123553,0.0
1.128569,-0.020000000000000018
1.133585,-0.020000000000000018
1.1386,-0.010000000000000009
1.143616,-0.010000000000000009
1.148632,-0.010000000000000009
1.153648,-0.010000000000000009
1.158664,-0.010000000000000009
1.16368,-0.010000000000000009
1.168695,-0.030000000000000027
1.173711,-0.010000000000000009
1.178727,-0.030000000000000027
1.183743,-0.020000000000000018
1.188759,0.0
1.193775,-0.010000000000000009
1.198791,0.0
1.203807,0.0
1.208823,-0.010000000000000009
1.213839,-0.020000000000000018
1.218855,-0.010000000000000009
1.223871,0.0
1.228886,-0.010000000000000009
1.233902,-0.010000000000000009
1.238918,-0.010000000000000009
1.243934,-0.010000000000000009
1.24895,0.0
1.253966,-0.010000000000000009
1.258981,0.0
1.263997,-0.010000000000000009
1.269013,-0.020000000000000018
1.274029,-0.040000000000000036
1.279045,0.0
1.284061,0.0
1.289077,-0.010000000000000009
1.294093,0.0
1.299109,0.0
1.304125,0.0
1.309141,0.0
1.314157,-0.010000000000000009
1.319172,0.0
1.324188,-0.010000000000000009
1.329204,-0.010000000000000009
1.33422,0.0
1.339236,0.0
1.344252,0.0
1.349267,0.0
1.354283,-0.010000000000000009
1.359299,0.0
1.364315,-0.010000000000000009
1.369331,-0.020000000000000018
1.374347,0.0
1.379363,-0.010000000000000009
1.384379,-0.010000000000000009
1.389395,-0.020000000000000018
1.394411,-0.010000000000000009
1.399427,-0.020000000000000018
1.404443,-0.010000000000000009
1.409458,0.0
1.414474,-0.010000000000000009
1.41949,-0.010000000000000009
1.424506,-0.010000000000000009
1.429522,-0.010000000000000009
1.434538,0.0
1.439553,-0.010000000000000009
1.444569,0.0
1.449585,0.0
1.454601,-0.020000000000000018
1.459617,-0.010000000000000009
1.464634,-0.020000000000000018
1.46965,-0.020000000000000018
1.474666,0.010000000000000009
1.479682,-0.010000000000000009
1.484698,0.0
1.489714,-0.010000000000000009
1.49473,-0.020000000000000018
1.499746,-0.010000000000000009
1.504762,-0.010000000000000009
1.509777,-0.010000000000000009
1.514793,-0.010000000000000009
1.519809,0.0
1.524825,0.0
1.529841,0.010000000000000009
1.534857,0.0
1.539873,-0.010000000000000009
1.544889,-0.010000000000000009
1.549905,-0.010000000000000009
1.554921,0.0
1.559937,-0.010000000000000009
1.564953,0.0
1.569969,-0.020000000000000018
1.574985,0.0
1.580001,0.0
1.585017,-0.010000000000000009
1.590033,-0.010000000000000009
1.595049,-0.010000000000000009
1.600065,0.0
1.605081,-0.010000000000000009
