t,0,l/4,l/2,3l/4,l
0.0,0.0,0.0,0.0,0.0,0.0
0.101010101010101,-0.01864912719505883,0.013765353556022958,-0.0014237426478287804,-0.010609063618411721,0.008842987405787312
0.202020202020202,-0.05497635171092618,0.045176645448877374,-0.019368515117379352,-0.04268340614805855,0.01791880955601457
0.303030303030303,-0.08388177765401898,0.062170620254824366,-0.07460063973503843,-0.07576547845459565,0.016087913259691156
0.404040404040404,-0.1106644675767474,0.05494085403415673,-0.15448609949988912,-0.0955619533711905,0.031292288484151734
0.5050505050505051,-0.1535869610836949,0.037372810535312495,-0.22425827158980755,-0.11837803977731967,0.07927175881038366
0.6060606060606061,-0.224588727357505,0.014020530673950354,-0.27531445965168405,-0.14679051319627495,0.133152174791237
0.7070707070707071,-0.30811361090952794,0.0014881805891456528,-0.31689657232944296,-0.16135765631066065,0.16968197304087473
0.8080808080808081,-0.37279979743383723,0.008199857621154669,-0.34924349988390824,-0.1519636762442135,0.2069345313538406
0.9090909090909092,-0.4114633931086632,0.030367564907365918,-0.3668928317693032,-0.1424244829352113,0.2767480632349922
1.0101010101010102,-0.4421811443752334,0.06964143043110821,-0.3803686013631127,-0.14503304589967947,0.3853490062859245
1.1111111111111112,-0.4930357424193136,0.12786960037250758,-0.4189980801593176,-0.1461426860357426,0.5031009825591464
1.2121212121212122,-0.5780979689310108,0.19665315931893917,-0.4988295546935564,-0.15451028083978524,0.60641448708755
1.3131313131313131,-0.6912531060130895,0.2687464710526675,-0.6146051845498136,-0.18546196682946123,0.698614236794368
1.414141414141414,-0.8075163780250321,0.36096443562236735,-0.7447181588162397,-0.23434540277848173,0.7660248222672744
1.5151515151515151,-0.9040825224998117,0.4679821379092545,-0.8684332313593105,-0.28853538562854725,0.7897577977926376
1.616161616161616,-0.9879916483132205,0.5629171067278018,-0.9873442520300673,-0.33561918951349246,0.7710952212150314
1.7171717171717171,-1.0675920701046928,0.6544928241911956,-1.0937492862426201,-0.36662803114966885,0.722104246659359
1.818181818181818,-1.1360814179177878,0.7470732270893282,-1.1744349696851444,-0.3835066335132376,0.6506056119978876
1.9191919191919191,-1.1898434018679853,0.8320743267322958,-1.249422013457067,-0.3878359615896305,0.5572334283118876
2.0202020202020203,-1.24155598111702,0.9282187666840033,-1.3476041237245124,-0.39165042348391893,0.4474534741322253
2.121212121212121,-1.3134849423038533,1.0336392747275436,-1.4618990194369235,-0.4091193805868819,0.3325325464786978
2.2222222222222223,-1.4132987938654533,1.1201728174772994,-1.5570061285326997,-0.43203459522398713,0.22906139161909608
2.323232323232323,-1.5344380341544568,1.1842535549755238,-1.6282783793428488,-0.46194986977399277,0.134314271573027
2.4242424242424243,-1.662892342324282,1.2372038142393456,-1.7116784242255794,-0.5150699246479529,0.03344429497616791
2.525252525252525,-1.7737217382388628,1.2927943796815597,-1.8148603270278176,-0.596634021277226,-0.054351367812029844
2.6262626262626263,-1.8485738761002666,1.3607881038697154,-1.907170613109082,-0.6948456936195174,-0.10353627236671589
2.727272727272727,-1.8902351576020386,1.4260490392605798,-1.9715021569875637,-0.7857547417290064,-0.12571659579199448
2.8282828282828283,-1.9248342706837807,1.4721895011014032,-2.0227585057038175,-0.8470497603573108,-0.14897951429370881
2.929292929292929,-1.982903357239957,1.5094946259162143,-2.0981104901117775,-0.867224794563204,-0.19211587198105254
3.0303030303030303,-2.0590399761810665,1.5537639725805872,-2.204905681340163,-0.843916661346182,-0.25514531995157186
3.131313131313131,-2.142391120789994,1.5926158274759923,-2.3107973411308023,-0.7988421616038754,-0.3313812287273622
3.2323232323232323,-2.2328202449180328,1.614611047780296,-2.4009955720231817,-0.7737479388130469,-0.4272406311375584
3.333333333333333,-2.3054125900072067,1.6292973159779958,-2.4961194023173268,-0.7686756263229865,-0.5451694443703508
3.4343434343434343,-2.344425503940009,1.6423983717373627,-2.622636704043531,-0.7605618256583094,-0.6715128397084547
3.5353535353535355,-2.3633507794633695,1.6709694023017476,-2.767906821256677,-0.7653540320099441,-0.7929142244170126
3.636363636363636,-2.3879951825645107,1.7135668390760317,-2.9084458668291515,-0.7837004275482997,-0.9034610893100707
3.7373737373737375,-2.431057005855837,1.7455819991989703,-3.0604126192795778,-0.7962122331087322,-1.0024655274676402
