Time,Accel_1,Accel_2,Force_1,Accel_3,Accel_4,Force_2,Accel_5,Force_3
0,-0.215092589,-0.236068904,-0.176410058,0.730951897,-0.511642708,-0.318097531,-0.171846319,-0.279825627
0.00048828,-0.373797663,0.813279651,0.050235611,-0.406056943,0.400842325,0.155822636,0.876675703,-0.545014632
0.00097656,0.641603354,-0.641747081,0.054849954,-0.6067157,0.262729162,0.266566867,-0.599101746,0.179708646
0.0014648,0.621291271,-0.745208836,0.04724986,0.99577837,-1.305473292,0.05702141,0.929487118,0.089050379
0.0019531,0.350568139,-0.076213198,0.150122565,-0.330255943,0.474922099,0.471226549,1.859257318,0.096921905
0.0024414,0.233915232,-0.398676286,0.027435328,-0.044514181,0.626849041,0.140079583,-0.258837429,0.313524593
0.0029297,-0.438968672,0.735444794,0.137093832,1.45744739,-0.821012255,-0.00025073,0.481488745,0.061635753
0.003418,0.366036098,0.546490277,0.509227021,-0.391573813,0.687638286,0.243495152,0.042864706,0.094207585
0.0039062,0.251334382,-0.263197836,0.250823815,0.216551479,-0.175464336,0.113750685,-1.383972934,0.185408717
0.0043945,-0.236654173,0.341241164,0.232637875,1.153978719,-1.062217821,0.137636696,0.468919875,0.11157923
0.0048828,0.322032741,0.306860614,0.529584416,-1.030222625,1.20497784,0.230737851,-0.374339318,0.216894822
0.0053711,0.045314467,0.553834233,0.477198052,0.30772811,-0.175926026,0.128950874,-1.579369015,0.393325583
0.0058594,-0.068740956,1.145666005,0.600428153,0.349601776,-0.613073025,0.260595364,-0.222515732,0.037749742
0.0063477,-0.28116841,0.338981959,0.200880338,-1.449297823,0.791863369,0.374325347,-1.015013184,-0.110452097
0.0068359,-0.351121992,-0.308541995,-0.104209162,0.504829175,-1.009874434,-0.205453276,-0.966547323,0.162879866
0.0073242,-0.402991665,-0.244286994,-0.159581278,0.273191414,-0.184482689,-0.125652286,0.675684567,-0.157952686
0.0078125,0.02503316,-0.659100487,-0.175052899,-1.344653666,1.732659262,0.116193573,0.158563561,-0.131080924
0.0083008,0.291983168,0.05964076,0.119179324,0.989832469,-0.844835482,-0.588443742,0.210500941,-0.151709752
0.0087891,0.057809475,0.363020642,0.057564274,0.319995377,-0.503012175,-0.203824684,1.165679709,-0.375641102
0.0092773,1.095024437,-0.615012125,0.206580408,-1.226960534,1.111014597,0.102079112,0.432604333,-0.36559812
0.0097656,0.323036034,-0.234745391,-0.027393923,1.092346936,-0.961987899,-0.07028017,1.023778268,-0.308597413
0.010254,-0.12658115,-0.758191572,-0.379441149,-0.065183264,0.240654202,0.073578758,1.5173865,-0.532800195
0.010742,1.044551989,-0.741392195,0.2795956,-0.906805179,0.940355334,0.180794374,0.496876687,-0.215496258
0.01123,-0.308177325,0.84924226,0.211466183,1.335150186,-1.363301562,-0.345512157,0.340430563,-0.283625674
0.011719,-0.577583249,0.149682713,-0.091180429,-0.317330072,0.354242368,0.291267173,0.522629946,-0.344426429
0.012207,-0.040630264,0.234695317,0.259238205,-0.934312663,0.997118638,0.146865382,-0.486375842,0.01087798
0.012695,-0.436937464,0.490558016,0.18025151,1.548334728,-1.482731651,-0.340897814,-0.218625661,0.005992205
0.013184,0.138553082,-0.65760461,0.139265287,-0.662869376,0.698398751,0.283395647,-0.064493884,0.055935682
0.013672,-0.630548544,0.83414806,0.242409424,-0.946456827,0.835336143,0.251909542,-1.176758914,0.391968423
0.01416,-0.838495029,0.997364872,0.141436743,1.537150772,-1.761697341,-0.105023458,-0.776967884,0.122979371
0.014648,0.119447413,-0.271225094,0.136008104,-0.969335618,0.837823116,0.120536484,-0.452602388,0.000292134
0.015137,0.182513353,0.443157795,0.346096425,-0.391069088,0.596451341,-0.049922774,-1.196781704,0.440011876
0.015625,0.583873953,-0.523517387,0.133022353,1.488727998,-1.163611202,-0.32216901,-0.346597937,0.120536484
0.016113,1.040040245,-0.605261223,0.303753043,-1.201170344,1.30155733,0.238880809,0.548340118,0.165051322
0.016602,-0.171834008,1.058098714,0.188937332,-0.135776984,-0.096275187,0.351525064,-0.473068351,0.088778947
0.01709,0.49680898,-0.464938101,0.032863967,1.119497419,-1.470038241,-0.190524519,0.605275502,-0.064037235
0.017578,0.491890994,-0.396749497,0.071678734,-1.132404712,1.113772428,0.312167433,0.479605261,0.109950638
0.018066,0.300384984,-0.051675889,0.100721952,0.252109934,0.186581015,-0.220924896,0.036851099,0.45032629
0.018555,0.843683956,-1.056899146,0.123793667,1.186311861,-0.724654377,-0.120223647,1.498527039,0.01223514
0.019043,-0.506263218,0.849974809,0.157994091,-1.284345246,1.358080554,-0.15849555,1.089823313,-0.023051012
0.019531,-0.579171285,0.838844991,0.165594185,0.82689879,-0.942092118,-0.168538532,-0.606284837,0.195451699
0.02002,0.287625303,-0.375099292,0.250823815,0.408543748,-0.513495626,-0.129452333,-0.086744847,-0.144923953
0.020508,-0.744985587,0.62081013,0.080093125,-1.376352825,1.416696776,-0.10529489,-0.414070983,-0.08846611
0.020996,0.17631509,-0.46489501,0.204137521,1.021199249,-0.903297807,-0.167995668,-0.850768452,0.197351722
