t,FA_1,A_1,FA_2,A_2,FA_3,A_3,FA_4,A_4,FA_5,A_5
0.052734,-0.316740371,-0.287606725,-0.316740371,0.041203921,0.122707939,-0.04729632,0.122707939,-0.200986585,-0.012465167,-1.914918467
0.053223,0.184865853,0.670686563,0.184865853,-0.239442322,-0.288511449,-0.230689807,-0.288511449,-0.781787033,0.627299915,2.173614497
0.053711,-0.104752026,-0.732958372,-0.104752026,0.454853954,-0.337912062,-0.446201005,-0.337912062,-0.332870005,-0.138409587,0.368184255
0.054199,-0.700273702,-1.145189013,-0.700273702,0.126456604,-0.122395102,0.093737241,-0.122395102,0.11030975,-0.39219845,-0.82090969
0.054688,0.15365118,0.780322569,0.15365118,-0.509309632,-0.198938909,0.179854317,-0.198938909,0.595700324,0.517098547,1.938332871
0.055176,-0.072180194,0.111002511,-0.072180194,-0.29076999,-0.219296305,-0.269541281,-0.219296305,0.557226119,0.19138022,-1.029231642
0.055664,-0.157138391,-0.696415088,-0.157138391,0.214116234,-0.347683612,0.202880832,-0.347683612,-0.784575643,-0.109637801,-1.611671382
0.056152,0.426440279,0.332841231,0.426440279,0.046245581,-0.275211284,-0.099005959,-0.275211284,-0.650032886,0.501355495,1.555653233
0.056641,0.084164604,-0.865103858,0.084164604,0.647101863,-0.542843177,-0.251235786,-0.542843177,0.195704018,-0.245896635,-0.455119856
0.057129,-0.183738721,-0.331659324,-0.183738721,0.021191178,0.220966301,0.04998009,0.220966301,0.541430149,-0.073808785,-0.873751881
0.057617,0.244852312,1.15715479,0.244852312,-0.598218904,0.023906713,0.702176447,0.023906713,-0.073547705,0.338767763,1.287324464
0.058105,0.341482082,-0.256861618,0.341482082,0.646055364,-0.346326452,-0.689244308,-0.346326452,0.530023317,-0.150895456,-1.716450953
0.058594,0.231823579,0.382088799,0.231823579,0.140645891,-0.537143106,-0.420041504,-0.537143106,-0.518721962,-0.08575179,-0.677469455
0.059082,0.204408953,1.010957035,0.204408953,-0.364880544,-0.749131451,0.057421699,-0.749131451,-1.0831601,0.353967952,2.098059704
0.05957,-0.287968585,-0.250238648,-0.287968585,0.128198716,-0.542028881,-1.178796278,-0.542028881,0.657154403,-0.40902723,-0.588958015
0.060059,0.048335588,0.285784906,0.048335588,-0.046615761,0.335239148,0.370443204,0.335239148,-0.050518584,0.057292842,-0.013498246
0.060547,-0.045037,0.45761897,-0.045037,-0.307618614,0.631642826,1.06948661,0.631642826,-0.221331744,0.505969838,1.489786688
0.061035,-0.123752262,-0.844330137,-0.123752262,0.489696194,-0.141938202,-0.725824522,-0.141938202,1.309732329,-0.300183023,-1.672342957
0.061523,-0.118323623,0.50936554,-0.118323623,-0.592881762,0.016306619,-0.034801312,0.016306619,-0.239553128,-0.465213642,0.007884838
0.062012,0.207666136,-0.297504249,0.207666136,0.251316173,-0.148452569,0.905198791,-0.148452569,-1.641054545,0.118907892,2.010305351
0.0625,-0.006765096,-0.806383473,-0.006765096,0.371195641,-0.396541361,-1.130188848,-0.396541361,0.764808308,-0.230425014,-0.596436555
0.062988,-0.116152168,0.233779819,-0.116152168,-0.515871793,0.534741623,0.33647894,0.534741623,0.249346294,0.280138464,-0.438673224
0.063477,-0.115609304,-0.710110356,-0.115609304,0.223990254,0.691357852,1.684739596,0.691357852,-0.556131201,0.79043051,-0.172769595
0.063965,-0.167995668,-0.538910275,-0.167995668,0.107084072,0.434040374,-1.164171578,0.434040374,1.791201612,0.010335116,-2.078252233
0.064453,-0.125923718,0.301732968,-0.125923718,-0.36989758,0.004906477,0.415080545,0.004906477,-0.665250204,0.068692983,0.199316985
0.064941,-0.171252851,-0.321780265,-0.171252851,0.11136856,0.098821928,0.438076285,0.098821928,-1.365714664,-0.275754148,1.940284062
0.06543,-0.123209398,0.347028913,-0.123209398,-0.247857401,-0.393284178,-1.372678185,-0.393284178,0.757402793,-0.839246855,-0.698840228
0.065918,0.22639494,0.511926094,0.22639494,-0.001086925,0.093664722,0.314554201,0.093664722,-0.075997742,0.050778475,0.382144195
0.066406,-0.272225533,0.126051918,-0.272225533,-0.218229184,0.368353844,0.665251542,0.368353844,-0.105379723,0.235895058,0.571908289
0.066895,-0.153338343,0.158889785,-0.153338343,-0.163392669,-0.015993782,-0.870514258,-0.015993782,1.045399148,-0.727416895,-1.925665405
0.067383,-0.256211048,0.18870546,-0.256211048,-0.342922545,0.014678027,0.318819738,0.014678027,-0.679642634,-0.037165473,1.094458161
0.067871,-0.19486743,-0.785628218,-0.19486743,0.33959139,-0.416627325,0.40600166,-0.416627325,-0.961495429,-0.053722822,2.494834697
0.068359,-0.425856011,-0.010759192,-0.425856011,-0.522446265,-0.309411709,-1.215111819,-0.309411709,0.987133812,-1.146779242,-1.395741632
0.068848,-0.104480594,-0.443006468,-0.104480594,-0.010727022,0.114836413,1.02297194,0.114836413,-0.558322692,-0.018708101,-0.241455211
0.069336,-0.204910412,-0.593919088,-0.204910412,0.008651665,0.078735965,0.604641518,0.078735965,0.110014268,0.523341482,0.835165192
0.069824,-0.276839876,-0.207490946,-0.276839876,-0.37328331,-0.778174668,-1.210169213,-0.778174668,1.341225774,-0.232325038,-2.277981558
